feature,score
WERD780101,0.1524117021290902
LIFS790102,0.15157141958908207
EISD860101,0.15142619140086913
VINM940102,0.15122841715720692
BASU050101,0.15092428060877155
CIDH920105,0.15084246737875467
QIAN880121,0.1507301525903215
WILM950101,0.15041911388576498
GUYH850102,0.15018867892138998
GUOD860101,0.14970330638320925
GEOR030107,0.14959030821285013
OOBM850103,0.14915987866072333
LIFS790101,0.1489700866066926
BHAR880101,0.14777788624959434
BASU050102,0.14734409739856813
KRIW710101,0.14636749707897076
LEVM760101,0.14605124594693789
CHOP780213,0.14477600056595935
KANM800104,0.1435794914373418
PALJ810111,0.1434569195152298
FAUJ880111,0.1430880965969021
EISD860102,0.1428491792096207
VENT840101,0.1428242576346238
ZIMJ680104,0.1412592003443422
PONP800105,0.14124786180119914
PRAM900101,0.14067605127522753
CORJ870103,0.14066295446696553
ENGD860101,0.14060734181620502
SWER830101,0.14034436804035552
GRAR740102,0.1402148414519549
CORJ870106,0.13973290197453647
CORJ870102,0.13971275145191525
MEEJ810101,0.13954710800018788
CORJ870107,0.13934797931278298
WOLS870101,0.1376357273247776
LEVM780105,0.13677015449814356
PALJ810110,0.13659941459552968
NAKH900113,0.13549035342096646
CIDH920103,0.13534195255568088
CORJ870108,0.13520094849782494
YUTK870101,0.1348161126700507
CIDH920102,0.134466762476846
NAKH920108,0.13366080368539557
MEEJ800102,0.13256643958070818
FUKS010107,0.1321164970783069
VASM830102,0.13168966645404473
CEDJ970105,0.13155363113805238
PLIV810101,0.13116600553532842
MUNV940103,0.13086153606557763
ROBB760106,0.13024079700836522
CORJ870105,0.12969307343635209
RICJ880114,0.128109090410253
PALJ810103,0.12736320693015932
CORJ870104,0.12730168950476414
ROSM880104,0.12670178863930168
PARS000102,0.12668686812627866
NAKH900111,0.12642352911601734
helix,0.12630830692895406
WARP780101,0.1261538517253612
RICJ880116,0.12582085072138066
PARJ860101,0.12392276683274515
RICJ880111,0.12374594884756267
NAKH920106,0.12359017115302501
CRAJ730102,0.12334525800275126
g5.g5.g5,0.12218283869563962
ROBB790101,0.122070455103969
QIAN880120,0.12196221208617204
AURR980119,0.12185819001857026
WILM950102,0.12156172212827479
NAKH920105,0.12140979726648808
KLEP840101,0.1210664747081941
FAUJ880104,0.12105666082038039
RACS820101,0.11975570727571568
LIFS790103,0.1192704320679815
TANS770104,0.11839668404791491
GEOR030102,0.11779787482335408
GUYH850103,0.11694962904774313
GARJ730101,0.11683448869517787
FASG760105,0.11642446260413829
ZHOH040101,0.11601588716174341
CIDH920101,0.11523474520180634
GEIM800105,0.11455623209653516
ISOY800104,0.11428759980518576
HUTJ700103,0.11378133719376424
PONP800106,0.1133739860158196
OOBM850105,0.11294404195881828
GEOR030101,0.11290538494474844
FUKS010105,0.1126503129646781
AURR980116,0.11250399091525601
ROBB760105,0.11189570154819219
RACS820105,0.11124735048106157
FAUJ880110,0.11084404556446772
QIAN880131,0.10983977747083032
FUKS010106,0.1092966309493755
WIMW960101,0.10882307388779765
ZIMJ680105,0.10817171081039353
WEBA780101,0.10816029320096061
QIAN880134,0.10773276295076534
QIAN880119,0.10700068933548355
NADH010107,0.10671272882220104
BULH740101,0.10653603051399735
BROC820101,0.10617850554921088
QIAN880115,0.10542095438804476
JOND750102,0.10472862129041878
KARS160116,0.10273887510328072
ZIMJ680103,0.10263294655560966
YUTK870103,0.10241472189187978
YUTK870104,0.1022972461019754
charge,0.10202549349014113
AURR980106,0.1014881248659508
RACS820102,0.10144360220299799
WOLS870102,0.10070809049498114
WOEC730101,0.100343699148874
WERD780104,0.10017015171385739
QIAN880135,0.09899818967363888
FUKS010102,0.0989046219153396
KARS160114,0.09887520684636915
RACS820109,0.09847200213681123
KARP850103,0.09769536685936991
GEOR030106,0.09737053439585
CHAM820102,0.0971742096570714
TANS770106,0.09710994712352151
FUKS010108,0.09669326636379795
QIAN880127,0.09587727230159157
GEOR030103,0.09529480526185108
KARS160115,0.09517257824400423
RICJ880108,0.09502146858880348
g1.g2.g1,0.09479563476787167
OOBM770102,0.09469537990470014
MAXF760102,0.09454645829613806
FUKS010101,0.09443738479438188
WERD780103,0.09403106479212564
CHOP780207,0.0935768476516122
ARGP820103,0.09356746234276932
KARS160106,0.09343988681253841
CHAM830105,0.09332082762558633
g5.g5.g3,0.09294736468500299
TAKK010101,0.09270929904057831
CHOP780208,0.09122260132820631
YUTK870102,0.09121654403285802
GEOR030104,0.09089811100327742
DAWD720101,0.09085592830388804
CHOP780216,0.09024796743539454
AVBF000101,0.0898169831904598
KOEP990101,0.08938275080188438
QIAN880128,0.08921003142251496
KUMS000101,0.08909329360767933
QIAN880137,0.08882608781760198
CHOP780203,0.08851355916867909
AVBF000107,0.08844779977957531
QIAN880118,0.08823357688059799
HUTJ700102,0.08790164641537634
GEIM800110,0.08712822998613039
PALJ810115,0.08688646550333932
g1.g1.g2,0.08687034165307699
g2.g1.g1,0.08628357505148695
LEVM760102,0.08615954305431184
LEVM760105,0.08537670891994197
BURA740102,0.08534141545475799
g1.g5.g5,0.08517050531786442
FODM020101,0.08512822543850532
CHOP780210,0.08369038704937085
GEIM800106,0.08359548274577701
QIAN880133,0.08267966971980627
NAKH900109,0.08205150658641096
KUMS000102,0.08165387955388612
FAUJ880113,0.08129028245992265
NAKH920101,0.080589576154512
WOLS870103,0.08015884524188026
RACS820107,0.07986589591905757
PALJ810109,0.0789968616488915
QIAN880116,0.07885518844897182
MAXF760105,0.07858210033537445
FUKS010103,0.07850914887821875
QIAN880132,0.07745697180367253
SNEP660102,0.07745382088729387
PRAM900104,0.07741020750759886
g2.g5.g5,0.07727835186875467
TANS770109,0.07629225101320716
LEVM780103,0.07615511592507312
CHAM830102,0.07608935208430662
QIAN880124,0.07587783212227639
g5.g5.g2,0.07493455497009865
TANS770102,0.07492149675947798
SUEM840102,0.07490636039892493
